iter	Passed	Remaining
728	5867	2181
729	5872	2172
730	5878	2163
731	5884	2154
732	5893	2146
733	5910	2142
734	5918	2133
735	5924	2125
736	5937	2118
737	5942	2109
738	5947	2100
739	5953	2091
740	5959	2082
741	5964	2073
742	5970	2065
743	5975	2056
744	5980	2047
745	5986	2038
746	5991	2029
747	5996	2020
748	6002	2011
749	6008	2002
750	6013	1993
751	6017	1984
752	6022	1975
753	6028	1966
754	6035	1958
755	6040	1949
756	6050	1942
757	6056	1933
758	6067	1926
759	6073	1917
760	6081	1909
761	6090	1902
762	6098	1894
763	6103	1885
764	6109	1876
765	6114	1867
766	6120	1859
767	6125	1850
768	6130	1841
769	6135	1832
770	6141	1824
771	6147	1815
772	6152	1806
773	6161	1799
774	6166	1790
775	6172	1781
776	6178	1773
777	6184	1764
778	6192	1756
779	6198	1748
780	6204	1739
781	6210	1731
782	6216	1722
783	6221	1714
784	6227	1705
785	6233	1697
786	6243	1689
787	6255	1682
788	6261	1674
789	6268	1666
790	6275	1658
791	6281	1649
792	6294	1643
793	6305	1635
794	6312	1627
795	6321	1620
796	6327	1611
797	6332	1603
798	6340	1595
799	6347	1586
800	6353	1578
801	6360	1570
802	6367	1562
803	6375	1554
804	6381	1545
805	6389	1538
806	6398	1530
807	6403	1521
808	6410	1513
809	6416	1504
810	6421	1496
811	6427	1488
812	6433	1479
813	6439	1471
814	6448	1463
815	6453	1455
816	6459	1446
817	6464	1438
818	6473	1430
819	6479	1422
820	6484	1413
821	6495	1406
822	6502	1398
823	6509	1390
824	6517	1382
825	6525	1374
826	6533	1366
827	6542	1358
828	6548	1350
829	6555	1342
830	6565	1335
831	6576	1328
832	6584	1320
833	6590	1311
834	6598	1303
835	6607	1296
836	6614	1288
837	6624	1280
838	6634	1273
839	6640	1264
840	6649	1257
841	6657	1249
842	6663	1240
843	6669	1232
844	6676	1224
845	6684	1216
846	6689	1208
847	6695	1200
848	6700	1191
849	6705	1183
850	6711	1175
851	6716	1166
852	6722	1158
853	6727	1150
854	6733	1141
855	6738	1133
856	6744	1125
857	6750	1117
858	6755	1108
859	6762	1100
860	6768	1092
861	6776	1084
862	6781	1076
863	6786	1068
864	6793	1060
865	6799	1052
866	6804	1043
867	6812	1036
868	6818	1027
869	6826	1020
870	6832	1011
871	6837	1003
872	6843	995
873	6848	987
874	6854	979
875	6859	971
876	6865	962
877	6870	954
878	6875	946
879	6881	938
880	6886	930
881	6892	922
882	6897	913
883	6904	906
884	6910	897
885	6917	890
886	6922	881
887	6928	873
888	6935	866
889	6941	857
890	6947	849
891	6953	841
892	6959	833
893	6970	826
894	6979	818
895	6985	810
896	6990	802
897	6996	794
898	7002	786
899	7007	778
900	7012	770
901	7018	762
902	7024	754
903	7029	746
904	7034	738
905	7040	730
906	7045	722
907	7050	714
908	7056	706
909	7061	698
910	7067	690
911	7073	682
912	7078	674
913	7083	666
914	7088	658
915	7094	650
916	7099	642
917	7105	634
918	7110	626
919	7117	618
920	7123	611
921	7128	603
922	7134	595
923	7139	587
924	7144	579
925	7150	571
926	7156	563
927	7161	555
928	7167	547
929	7172	539
930	7177	531
931	7183	524
932	7188	516
933	7193	508
934	7198	500
935	7204	492
936	7209	484
937	7215	476
938	7220	469
939	7225	461
940	7230	453
941	7235	445
942	7241	437
943	7247	429
944	7252	422
945	7257	414
946	7263	406
947	7268	398
948	7273	390
949	7279	383
950	7284	375
951	7289	367
952	7294	359
953	7299	351
954	7304	344
955	7311	336
956	7316	328
957	7321	320
958	7326	313
959	7332	305
960	7336	297
961	7342	290
962	7346	282
963	7351	274
964	7357	266
965	7362	259
966	7367	251
967	7372	243
968	7377	236
969	7382	228
970	7388	220
971	7393	212
972	7398	205
973	7404	197
974	7409	189
975	7414	182
976	7419	174
977	7424	167
978	7429	159
979	7434	151
980	7440	144
981	7445	136
982	7450	128
983	7455	121
984	7461	113
985	7466	106
986	7472	98
987	7476	90
988	7482	83
989	7487	75
990	7492	68
991	7498	60
992	7503	52
993	7508	45
994	7513	37
995	7518	30
996	7523	22
997	7528	15
998	7534	7
999	7539	0
	8
999	8065	0
7914	1103
942	17939	1084
943	17970	1066
944	17995	1047
945	18026	1029
946	18055	1010
947	18062	990
948	18070	971
949	18082	951
950	18103	932
951	18113	913
952	18121	893
953	18127	874
954	18133	854
955	18139	834
956	18146	815
957	18156	796
958	18170	776
959	18181	757
960	18196	738
961	18207	719
962	18216	699
963	18225	680
964	18238	661
965	18250	642
966	18256	623
967	18265	603
968	18274	584
969	18289	565
970	18313	546
971	18319	527
972	18328	508
973	18334	489
974	18342	470
975	18349	451
976	18355	432
977	18361	413
978	18367	393
979	18376	375
980	18392	356
981	18401	337
982	18414	318
983	18428	299
984	18443	280
985	18459	262
986	18472	243
987	18494	224
988	18505	205
989	18513	187
990	18520	168
991	18526	149
992	18536	130
993	18544	111
994	18550	93
995	18556	74
996	18568	55
997	18590	37
998	18653	18
999	18665	0

998	17472	17
999	17478	0
